he_word,count
lunched,3
find,3
accepts,3
get,3
concealed,3
detested,3
accompanied,3
well,3
analysed,3
decided,3
developed,3
blessed,3
excited,3
hunted,3
recited,3
rated,3
blurted,3
hastened,3
concluded,3
rushed,3
tore,3
impressed,3
restrained,3
acknowledged,3
shows,3
speak,3
die,3
vaguely,3
ruled,3
missed,3
regrets,3
panted,3
swam,3
brings,3
twisted,3
invited,3
flew,3
argued,3
fired,3
growled,3
thrust,3
see,3
sobbed,3
swallowed,3
summoned,3
realized,3
carefully,3
trod,3
sang,3
most,3
likened,3
flourished,3
named,3
dare,3
warmly,3
safe,3
stifled,3
garay,3
removed,3
withdraws,3
passes,3
gesticulated,3
happens,3
meditated,3
causes,3
offer,3
sets,3
continue,3
rings,3
bears,3
follows,3
naturally,3
hesitates,3
announced,3
forget,3
pours,3
proposes,3
people,3
shrieked,3
hands,3
staggers,3
grinned,2
starts,2
prides,2
bombarded,2
devoured,2
pouted,2
stirred,2
abandoned,2
what,2
spluttered,2
lowered,2
gulped,2
screamed,2
rummaged,2
nursed,2
provided,2
lurched,2
vanished,2
bathed,2
compared,2
disengaged,2
keenly,2
dismissed,2
hung,2
swept,2
washed,2
rather,2
discoursed,2
rejoined,2
dined,2
accused,2
satin,2
disdained,2
tottered,2
mocked,2
emptied,2
isn,2
believes,2
lied,2
frankly,2
served,2
crept,2
crawled,2
admitted,2
redoubled,2
attended,2
delayed,2
sneered,2
chanced,2
practised,2
paints,2
spends,2
divided,2
shared,2
declared,2
referred,2
taught,2
consorted,2
separated,2
writes,2
rehearsed,2
passionately,2
serves,2
gone,2
stationed,2
shrank,2
insinuated,2
declined,2
tripped,2
reid,2
prized,2
undid,2
tortured,2
send,2
pawned,2
interested,2
clerked,2
it,2
helps,2
stoutly,2
hailed,2
clapped,2
discerned,2
pronounced,2
slowly,2
advised,2
ended,2
noted,2
fastened,2
charges,2
delivered,2
quickened,2
busied,2
complained,2
chatted,2
slackened,2
yielded,2
play,2
leave,2
locked,2
faintly,2
rarely,2
here,2
hankered,2
threatened,2
disapproved,2
browbeat,2
untied,2
unlocked,2
praised,2
rested,2
resigned,2
faltered,2
hates,2
landed,2
forgotten,2
thus,2
counted,2
deserted,2
induced,2
scattered,2
scanned,2
lounged,2
stumbled,2
once,2
scrambled,2
slid,2
protruded,2
spread,2
half,2
are,2
abused,2
stinks,2
upheld,2
protested,2
by,2
jerked,2
interests,2
towered,2
commanded,2
affects,2
bored,2
offers,2
afterwards,2
kicked,2
fills,2
dodged,2
marched,2
works,2
on,2
peppered,2
objected,2
chattered,2
even,2
yawned,2
making,2
wisely,2
z,2
dreamt,2
forbore,2
promptly,2
valued,2
show,2
falls,2
gloried,2
patted,2
rides,2
arrives,2
c,2
informed,2
begins,2
vows,2
pretends,2
solemnly,2
afraid,2
boldly,2
girded,2
despaired,2
imagines,2
trusted,2
lacks,2
places,2
disappeared,2
clasps,2
built,2
watches,2
entirely,2
raises,2
after,2
preached,2
wheeled,2
straightened,2
coloured,2
black,2
purses,2
treads,2
marries,2
lights,2
hurries,2
elizabeth,2
aroused,2
her,2
forgets,2
breaks,2
abhorred,2
lean,2
shot,2
undertook,2
sailed,2
flies,2
sacked,2
stalked,2
sipped,2
seem,2
repaired,2
talking,2
apologised,2
better,2
anything,2
pulls,2
contented,2
performed,2
jeered,2
secretly,2
violet,2
listens,2
notices,2
bows,2
kneels,2
draws,2
catches,2
bring,2
love,2
remembers,2
belong,2
all,2
v,2
pushes,2
harry,2
nods,2
appears,2
stretches,2
redick,2
occupies,1
disturbs,1
exults,1
fore,1
flashed,1
snapped,1
swims,1
realises,1
eloped,1
tenderly,1
having,1
living,1
prefers,1
sings,1
halted,1
embarrassed,1
wounded,1
feebly,1
deliberately,1
laughs,1
returns,1
lamented,1
dream,1
ceases,1
waylaid,1
vanquished,1
gibbered,1
glowed,1
pounced,1
sacrificed,1
created,1
boxed,1
wrestled,1
consumed,1
afforded,1
hinted,1
assigned,1
thrashed,1
mysteriously,1
enquired,1
swarmed,1
complain,1
smelt,1
paint,1
destroyed,1
lio,1
cuddled,1
limps,1
revenged,1
fidget,1
fidgeted,1
snored,1
welcomed,1
tucked,1
manoeuvre,1
crowed,1
tormented,1
absorbed,1
hugged,1
undressed,1
conducted,1
overheard,1
treasured,1
aspired,1
excelled,1
copied,1
starved,1
changes,1
dabbled,1
disposed,1
twenty,1
punishes,1
taira,1
personally,1
thrilled,1
instinctively,1
worshipped,1
excused,1
tired,1
rid,1
wasted,1
nudged,1
escaped,1
particularly,1
instructed,1
conceal,1
grasped,1
ripping,1
absurdly,1
clean,1
definitely,1
wish,1
tided,1
hired,1
profited,1
revealed,1
conveyed,1
installed,1
chucked,1
thwarts,1
recognises,1
strummed,1
flanagan,1
urged,1
raged,1
omitted,1
