word,count
cut,228
glass,228
thank,227
surprised,227
watched,227
ave,227
arrived,226
road,226
fire,225
ronny,225
please,224
sleep,223
sally,223
everyone,222
matteo,222
character,221
followed,221
spirit,221
entered,221
died,221
p,221
offered,219
shook,219
story,218
pictures,218
send,218
school,217
difficult,217
seeing,217
across,216
bitter,215
cruel,215
sick,214
green,214
colonel,214
finished,214
forced,214
horrible,214
wants,213
nearly,213
entirely,213
anxious,212
ed,212
beginning,212
case,212
waited,212
uncle,212
trouble,212
sky,211
broken,211
opportunity,210
dressed,210
hilda,210
ones,209
notice,209
glance,209
easy,209
drink,209
nonsense,209
truth,208
indeed,208
return,207
picture,207
letters,206
free,206
sound,206
wrote,205
added,205
proud,205
position,204
mans,204
exactly,203
tomorrow,202
effort,201
ago,201
reggie,201
clear,200
vicar,200
emotion,199
natural,199
unhappy,199
garden,199
necessary,198
someone,198
blood,198
philips,198
cc,197
worth,196
early,196
fair,196
ashamed,196
imagine,196
started,196
kiss,196
tie,196
christina,196
threw,195
offer,195
lie,195
anne,194
immediately,194
glover,194
closed,193
sought,192
quiet,192
amused,192
become,191
ran,191
courage,191
beat,191
afterwards,191
ground,190
mac,189
persons,188
straight,188
hate,188
notwithstanding,187
doubt,187
future,187
forgive,187
pass,187
usual,187
burst,186
break,186
rooms,186
eat,186
honour,186
guess,186
present,185
giving,185
reading,185
land,184
thirty,183
tall,183
hesitated,183
reached,183
struck,183
frightened,183
refused,183
account,182
note,182
surprise,182
caught,182
streets,182
master,182
aunt,182
received,181
greater,180
fancy,180
rich,180
absurd,179
quietly,179
minute,179
today,179
porte,179
office,178
curious,178
appearance,178
forgotten,178
near,178
plain,178
pounds,177
gods,177
settled,177
herbert,177
perfect,176
silly,176
gold,176
strangely,176
easily,175
eye,175
heaven,175
impression,175
wrong,175
takes,175
state,174
paid,174
floor,174
moved,174
sophia,174
houses,173
party,173
colour,173
asking,173
ny,173
grace,172
gives,172
couple,172
hated,172
chapter,171
grave,171
shop,171
touched,171
lot,171
deep,171
creature,171
simply,171
sharp,171
native,170
french,170
ladies,170
satisfaction,170
walter,169
changed,169
river,169
thousand,168
turning,168
besides,168
clinton,168
terrible,167
scarcely,167
mine,167
quick,167
drew,167
pride,167
train,167
bella,167
real,166
society,166
flowers,166
spend,166
written,165
lives,165
habit,165
outside,165
length,165
start,165
grateful,164
fashion,164
neck,164
court,164
walker,164
number,163
piece,163
shrugged,163
goodbye,163
weak,163
whatever,163
tro,163
relief,162
run,162
hospital,162
played,161
simple,161
fond,161
tone,161
awful,161
darkness,161
lib,161
knowledge,160
skin,160
grey,160
fall,160
opinion,160
painted,160
comfortable,160
utterly,160
rad,160
except,159
gravely,159
occurred,158
fixed,158
baby,158
willing,157
temper,157
station,157
er,157
shaw,157
suffered,156
summer,156
touch,156
prevent,156
eve,156
winter,156
drive,156
passionately,156
walls,156
cr,156
railing,156
jamie,156
wickham,156
lying,155
various,155
fat,155
company,155
within,155
pity,155
vulgar,155
sank,155
discovered,154
anger,154
repeated,154
force,154
delight,154
bou,154
